,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,Player
0,Sat 2/5,vsUCSD,W84-48,3.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,ariel-bland
1,Thu 2/3,vsUCI,L53-52,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,ariel-bland
2,Sat 1/29,@HAW,L65-62,2.0,0-0,0.0,0-0,0.0,0-2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ariel-bland
3,Tue 1/25,@CSUN,W72-45,9.0,1-2,50.0,0-0,0.0,0-0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,ariel-bland
4,Sat 1/15,@CSUF,L79-73,12.0,0-1,0.0,0-0,0.0,0-0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,ariel-bland
5,Thu 1/13,@LBSU,L65-58,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,ariel-bland
6,Sun 12/5,vsCLU,W87-66,6.0,3-3,100.0,0-0,0.0,0-0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,ariel-bland
7,Sat 11/20,vsCHIC,W81-50,3.0,1-2,50.0,0-0,0.0,0-0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,ariel-bland
